threshold,precision,recall,f1,review_count,tp,fp,fn
0.94,0.7992920353982301,0.9890494962768287,0.8841033672670322,2825,2258,567,25
0.945,0.820737495436291,0.98466929478756,0.8952608522501,2739,2248,491,35
0.95,0.8476118271417741,0.9794130530004380,0.9087583824425929,2638,2236,402,47
0.955,0.880905121079794,0.971966710468682,0.924198250728863,2519,2219,300,64
0.96,0.9088271860754248,0.9605781865965834,0.9339863713798978,2413,2193,220,90
0.965,0.933477321814255,0.946561541830924,0.93997390169639,2315,2161,154,122
0.97,0.9575429087624210,0.9286027157249234,0.9428507894151656,2214,2120,94,163
0.975,0.978363123236124,0.911081909767849,0.94352460875482,2126,2080,46,203
0.98,0.9902343750000000,0.8883048620236531,0.9365042715308243,2048,2028,20,255
